"Municipio";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"Total"
"250010 Agua Branca";1;-;-;-;1
"250030 Alagoa Grande";7;-;1;-;8
"250040 Alagoa Nova";7;1;-;-;8
"250050 Alagoinha";2;1;1;-;4
"250057 Algodao de Jandaira";1;-;-;-;1
"250060 Alhandra";3;-;-;-;3
"250077 Aparecida";1;1;-;-;2
"250080 Aracagi";1;1;-;-;2
"250090 Arara";1;-;1;-;2
"250100 Araruna";1;-;5;-;6
"250110 Areia";2;1;1;-;4
"250120 Areial";3;-;-;-;3
"250130 Aroeiras";4;1;1;-;6
"250135 Assuncao";4;-;-;-;4
"250140 Baia da Traicao";-;-;2;-;2
"250150 Bananeiras";5;-;1;-;6
"250160 Barra de Santa Rosa";-;1;-;-;1
"250157 Barra de Santana";1;-;-;-;1
"250170 Barra de Sao Miguel";1;-;-;-;1
"250180 Bayeux";8;6;11;-;25
"250190 Belem";3;1;2;-;6
"250215 Boa Vista";1;1;-;-;2
"250220 Bom Jesus";-;-;1;-;1
"250230 Bom Sucesso";1;1;-;-;2
"250240 Bonito de Santa Fe";1;-;1;-;2
"250250 Boqueirao";3;1;1;-;5
"250300 Caapora";3;-;3;-;6
"250310 Cabaceiras";2;1;-;-;3
"250320 Cabedelo";5;5;3;-;13
"250330 Cachoeira dos Indios";1;-;-;-;1
"250340 Cacimba de Areia";1;-;-;-;1
"250350 Cacimba de Dentro";2;1;-;-;3
"250355 Cacimbas";1;-;1;-;2
"250360 Caicara";-;1;-;-;1
"250370 Cajazeiras";12;5;1;-;18
"250390 Camalau";-;-;1;-;1
"250400 Campina Grande";51;16;15;-;82
"250403 Capim";1;-;-;-;1
"250407 Caraubas";2;-;-;-;2
"250415 Casserengue";1;-;1;-;2
"250430 Catole do Rocha";3;1;2;-;6
"250435 Caturite";1;-;-;-;1
"250440 Conceicao";4;1;-;-;5
"250450 Condado";1;-;1;-;2
"250460 Conde";4;3;1;-;8
"250470 Congo";-;2;-;-;2
"250480 Coremas";3;-;3;-;6
"250490 Cruz do Espirito Santo";2;-;1;-;3
"250500 Cubati";3;-;-;-;3
"250510 Cuite";2;-;1;-;3
"250527 Curral de Cima";1;1;1;-;3
"250535 Damiao";1;-;-;-;1
"250540 Desterro";2;-;1;-;3
"250560 Diamante";-;1;-;-;1
"250570 Dona Ines";-;-;1;-;1
"250580 Duas Estradas";1;-;-;-;1
"250600 Esperanca";3;4;2;-;9
"250610 Fagundes";2;-;1;-;3
"250625 Gado Bravo";-;-;2;-;2
"250630 Guarabira";6;1;5;-;12
"250640 Gurinhem";-;1;-;-;1
"250660 Ibiara";1;-;-;-;1
"250670 Imaculada";2;-;1;-;3
"250680 Inga";2;1;-;-;3
"250690 Itabaiana";2;-;-;-;2
"250700 Itaporanga";4;3;-;-;7
"250710 Itapororoca";2;2;-;1;5
"250720 Itatuba";1;-;1;-;2
"250730 Jacarau";-;1;-;-;1
"250740 Jerico";2;-;-;-;2
"250750 Joao Pessoa";82;27;50;-;159
"250770 Juazeirinho";6;2;2;-;10
"250780 Junco do Serido";1;-;-;-;1
"250790 Juripiranga";1;1;1;-;3
"250820 Lagoa de Dentro";-;1;1;-;2
"250830 Lagoa Seca";5;1;2;-;8
"250850 Livramento";-;1;-;-;1
"250890 Mamanguape";6;2;4;-;12
"250900 Manaira";2;-;1;-;3
"250905 Marcacao";1;-;2;-;3
"250910 Mari";2;-;-;-;2
"250915 Marizopolis";-;1;-;-;1
"250920 Massaranduba";4;2;1;-;7
"250939 Matureia";-;1;-;-;1
"250940 Mogeiro";1;2;1;-;4
"250970 Monteiro";4;1;2;-;7
"250980 Mulungu";1;1;2;-;4
"250990 Natuba";2;-;1;-;3
"251000 Nazarezinho";2;2;-;-;4
"251010 Nova Floresta";1;1;-;-;2
"251020 Nova Olinda";-;1;-;-;1
"251040 Olho d'Agua";3;1;-;-;4
"251050 Olivedos";1;-;1;-;2
"251060 Ouro Velho";1;-;-;-;1
"251080 Patos";12;6;3;-;21
"251090 Paulista";-;-;1;-;1
"251100 Pedra Branca";1;-;1;-;2
"251110 Pedra Lavrada";-;-;1;-;1
"251120 Pedras de Fogo";-;-;1;-;1
"251272 Pedro Regis";-;-;1;-;1
"251130 Pianco";2;-;2;-;4
"251140 Picui";2;-;2;-;4
"251150 Pilar";2;-;1;-;3
"251160 Piloes";2;1;2;-;5
"251190 Pitimbu";2;1;-;-;3
"251200 Pocinhos";3;-;2;-;5
"251203 Poco Dantas";2;-;-;-;2
"251207 Poco de Jose de Moura";1;-;1;-;2
"251210 Pombal";1;-;2;-;3
"251230 Princesa Isabel";4;1;2;-;7
"251240 Puxinana";1;-;2;-;3
"251250 Queimadas";4;2;5;-;11
"251270 Remigio";2;1;-;-;3
"251275 Riachao do Bacamarte";3;-;-;-;3
"251276 Riachao do Poco";1;-;-;-;1
"251280 Riacho dos Cavalos";3;-;1;-;4
"251290 Rio Tinto";2;3;1;-;6
"251300 Salgadinho";1;-;1;-;2
"251310 Salgado de Sao Felix";-;1;-;-;1
